"_id","addr","credit_code","name","target_href","url"
"5c60f1ef0be1b82bec6916e7","深圳市福田区彩田南路中深花园A座3011","914403005977578226","深圳市越晟通电子商务有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=914403005977578226&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=7574affaf5b644bfad6f2351792ece82"
"5c60f1ff0be1b82bec6916e8","深圳市福田区沙头街道天安社区泰然九路1号盛唐商务大厦东座1203、1206","914403000578898409","深圳市感融互联网金融服务有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=914403000578898409&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=f154d9653a154318a9183f976257dec7"
"5c60f20b0be1b82bec6916e9","深圳市福田区沙头街道泰然九路盛唐商务大厦东座1403","9144030034270485XG","开心贷（深圳）金融服务有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=9144030034270485XG&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=2e5e254998b443148facb43c20361c96"
"5c60f21a0be1b82bec6916ea","深圳市南山区粤海街道创业路1777号海信南方大厦23层","91440300584050916X","深圳市人人聚财金融信息服务有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=91440300584050916X&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=20548db75639453c81dc58a5e907a1bd"
"5c60f2270be1b82bec6916eb","深圳市福田区福保街道益田路1006号益田创新科技园19栋13层","914403005627980859","红岭创投电子商务股份有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=914403005627980859&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=a40a92aaadd547189d2471a2044d1b9b"
"5c60f2350be1b82bec6916ec","深圳市福田区香蜜湖中投国际商务中心A座3层ABCD","91440300083884082F","深圳投哪金融服务有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=91440300083884082F&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=5627d61991154667824c41ce3c80b8a4"
"5c60f2440be1b82bec6916ed","深圳市罗湖区东门街道深南东路百货广场大厦西座1611-1612","914403000539782806","深圳融奕达投资管理有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=914403000539782806&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=04e84310427e4c6a93aec6d8d40ebcfc"
"5c60f24b0be1b82bec6916ee","深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）","91440300063884544R","深圳亿网银通电子商务控股有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=91440300063884544R&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=a5ab258de8044420a35197354ba31724"
"5c60f25a0be1b82bec6916ef","深圳市福田区天安数码城创新科技广场一期A座1104","91440300066320795P","深圳中创金融信息服务有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=91440300066320795P&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=6ac660beee5f44c48dbe8fe539193e5c"
"5c60f2690be1b82bec6916f0","深圳市福田区福田街道滨河路与彩田路交汇处联合广场A座裙楼A201H","91440300068588146D","深圳市合拍在线互联网金融服务有限公司","https://www.szcredit.org.cn/SZXYMBWSercives/WeiXinCXService.asmx/GetList?sNameKey=91440300068588146D&DeptName=&EntType=&IndName=&DataTime=&idcode=ABcdef123321&secret=www.szcredit.org.cn","https://www.szcredit.org.cn/xy2.outside/gspt/newGSPTDetail3.aspx?ID=a614c798fd3f4cabb4c42c0299846ce8"
